Iteration_number, Changed_bit
35
30
28
30
22
26
42
30
24
48
32
26
48
24
54
36
28
23
51
34
24
36
30
20
24
28
21
30
37
31
40
44
34
34
28
32
36
22
43
50
41
47
25
34
48
41
49
26
34
20
34
36
34
27
28
39
26
20
28
30
34
42
30
26
51
24
24
48
20
26
30
32
34
41
32
28
30
36
24
38
29
26
33
34
21
42
20
28
28
31
24
25
31
31
32
31
33
30
30
29
23
42
26
43
40
38
25
25
24
30
34
42
32
28
49
33
37
41
46
40
34
26
38
34
30
30
26
21
22
27
24
29
38
37
38
48
28
39
30
24
46
34
40
48
22
30
24
22
30
34
34
40
34
30
28
33
32
24
26
32
26
40
32
42
29
26
32
46
35
24
30
33
40
44
46
35
48
30
35
24
26
38
33
36
38
45
29
38
32
28
40
28
34
24
32
24
31
46
33
26
31
42
31
34
20
28
40
28
30
34
28
33
27
44
23
35
36
41
36
20
31
28
31
26
26
43
34
26
41
32
27
16
37
26
22
39
30
28
35
47
24
48
22
34
36
50
27
24
36
20
33
28
28
32
30
30
33
37
29
34
28
43
39
30
36
33
35
51
32
38
32
28
35
37
26
33
38
39
28
32
40
26
19
32
27
30
34
32
30
41
36
24
40
42
26
22
38
34
32
30
35
34
28
38
27
30
44
25
35
26
31
38
22
44
36
36
32
38
30
48
26
25
18
34
47
30
32
34
37
42
35
35
26
40
26
27
32
48
30
29
38
30
24
22
25
31
33
35
32
23
34
42
35
34
50
48
29
34
50
48
30
44
61
34
38
41
36
44
32
36
29
29
45
28
26
33
45
29
29
34
40
34
24
28
34
29
33
34
25
30
41
26
36
37
33
30
26
25
26
22
46
51
26
26
29
46
27
31
49
51
37
28
33
32
48
28
37
31
38
20
24
25
27
25
40
34
32
44
28
22
35
36
25
45
34
28
32
30
34
32
46
34
32
40
44
20
28
25
28
37
42
30
28
38
41
35
26
86
35
22
39
20
26
32
38
30
35
30
42
47
30
30
36
36
34
26
40
24
22
46
28
37
28
30
33
26
35
34
28
27
27
32
36
30
25
28
31
42
34
40
39
20
27
31
30
22
30
32
27
29
27
42
56
41
28
21
24
45
24
30
28
30
39
43
40
34
20
24
35
28
31
30
22
36
29
24
32
26
30
36
26
23
28
32
36
26
27
24
18
32
24
38
28
24
50
32
28
41
42
37
36
22
40
48
26
38
100
34
31
52
33
28
18
30
44
26
44
23
32
25
36
34
30
38
33
29
30
28
34
32
30
20
31
44
24
31
32
34
52
30
22
28
34
26
39
31
34
26
22
50
30
33
18
53
40
29
37
32
42
34
28
32
24
47
26
28
24
33
30
33
27
24
32
28
42
28
25
30
36
20
43
24
18
21
30
27
38
28
34
18
26
32
39
56
34
34
37
25
30
34
24
42
35
42
35
22
34
40
30
36
24
25
28
36
41
32
22
28
52
30
27
20
24
46
32
32
36
45
42
32
42
28
46
34
22
36
29
32
22
30
31
33
36
44
40
27
41
32
27
35
30
16
27
36
26
48
26
32
27
28
22
33
35
26
24
56
33
28
31
28
34
32
24
22
32
28
36
38
25
29
28
37
38
42
38
18
25
36
39
40
31
18
20
35
40
37
48
34
35
26
28
38
39
45
37
25
22
38
33
46
46
26
32
40
54
35
24
43
44
22
45
39
27
42
34
30
40
24
26
54
32
28
35
35
29
38
34
44
22
38
28
40
27
32
32
30
46
34
34
22
26
22
27
26
34
42
38
56
30
48
34
28
27
43
42
41
24
29
24
26
26
30
29
34
28
42
26
34
24
38
26
34
20
36
26
35
22
40
30
28
41
31
42
33
40
32
24
22
27
26
26
46
35
52
30
36
58
50
34
38
24
34
60
36
38
28
39
28
41
30
36
48
25
35
28
28
42
38
27
24
31
39
38
28
26
33
26
29
26
30
28
36
30
28
26
30
48
56
32
26
58
38
43
44
29
18
35
25
36
16
34
36
24
36
24
43
42
28
38
27
50
40
33
32
26
39
32
37
29
36
30
20
42
30
34
24
24
30
29
28
38
40
32
25
35
20
41
28
43
28
27
19
25
33
41
31
25
40
42
30
27
29
30
20
36
21
40
30
29
24
24
42
33
33
40
38
34
26
23
28
33
20
34
24
22
25
28
29
34
26
